EventTime,EventType,Event
,AGENT_TYPE,HeuristicBeliefLearningAgent
,STARTING_CASH,10000000
2019-06-28 09:30:00.000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
2019-06-28 09:30:00.000000005,BID_DEPTH,"[(99964, 100)]"
2019-06-28 09:30:00.000000005,ASK_DEPTH,[]
2019-06-28 09:30:00.000000005,IMBALANCE,"[100, 0]"
2019-06-28 09:34:13.404021715,HOLDINGS_UPDATED,"{'CASH': 3000, 'JPM': 100}"
2019-06-28 09:53:37.450628493,BID_DEPTH,"[(101184, 212)]"
2019-06-28 09:53:37.450628493,ASK_DEPTH,"[(101665, 212)]"
2019-06-28 09:53:37.450628493,IMBALANCE,"[212, 212]"
2019-06-28 10:09:02.220926793,BID_DEPTH,"[(100654, 182)]"
2019-06-28 10:09:02.220926793,ASK_DEPTH,"[(100899, 182)]"
2019-06-28 10:09:02.220926793,IMBALANCE,"[182, 182]"
2019-06-28 10:20:52.143221001,BID_DEPTH,"[(101137, 166)]"
2019-06-28 10:20:52.143221001,ASK_DEPTH,"[(101389, 266)]"
2019-06-28 10:20:52.143221001,IMBALANCE,"[166, 266]"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 711743, 'JPM': 93}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 1217988, 'JPM': 88}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 1420486, 'JPM': 86}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 1926731, 'JPM': 81}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 2230478, 'JPM': 78}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 2635474, 'JPM': 74}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 3445466, 'JPM': 66}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 3850462, 'JPM': 62}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 3951711, 'JPM': 61}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 4052960, 'JPM': 60}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 4356707, 'JPM': 57}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 4457956, 'JPM': 56}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 4862952, 'JPM': 52}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 5369197, 'JPM': 47}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 6077940, 'JPM': 40}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 6786683, 'JPM': 33}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 7596675, 'JPM': 25}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 7697924, 'JPM': 24}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 8305418, 'JPM': 18}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 8609165, 'JPM': 15}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 9520406, 'JPM': 6}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 9824153, 'JPM': 3}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 9925402, 'JPM': 2}"
2019-06-28 10:21:00.000000000,HOLDINGS_UPDATED,"{'CASH': 10026651, 'JPM': 1}"
2019-06-28 10:22:00.000000000,HOLDINGS_UPDATED,{'CASH': 10127900}
2019-06-28 10:28:44.206491442,BID_DEPTH,"[(101083, 212)]"
2019-06-28 10:28:44.206491442,ASK_DEPTH,"[(101231, 413)]"
2019-06-28 10:28:44.206491442,IMBALANCE,"[212, 413]"
2019-06-28 10:28:44.206491442,HOLDINGS_UPDATED,"{'CASH': 10026669, 'JPM': 1}"
2019-06-28 10:28:44.206491442,HOLDINGS_UPDATED,"{'CASH': 4800, 'JPM': 100}"
2019-06-28 10:29:45.267032646,BID_DEPTH,"[(101192, 430)]"
2019-06-28 10:29:45.267032646,ASK_DEPTH,"[(101268, 100)]"
2019-06-28 10:29:45.267032646,IMBALANCE,"[430, 100]"
2019-06-28 11:15:27.543887442,BID_DEPTH,"[(100327, 183)]"
2019-06-28 11:15:27.543887442,ASK_DEPTH,"[(100467, 182)]"
2019-06-28 11:15:27.543887442,IMBALANCE,"[183, 182]"
2019-06-28 11:19:00.031431590,BID_DEPTH,"[(100148, 68)]"
2019-06-28 11:19:00.031431590,ASK_DEPTH,"[(100449, 265)]"
2019-06-28 11:19:00.031431590,IMBALANCE,"[68, 265]"
2019-06-28 11:35:48.962587362,BID_DEPTH,"[(98593, 212)]"
2019-06-28 11:35:48.962587362,ASK_DEPTH,"[(100156, 195)]"
2019-06-28 11:35:48.962587362,IMBALANCE,"[212, 195]"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 705885, 'JPM': 93}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 1206660, 'JPM': 88}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 1406970, 'JPM': 86}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 1907745, 'JPM': 81}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 2208210, 'JPM': 78}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 2608830, 'JPM': 74}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 3410070, 'JPM': 66}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 3810690, 'JPM': 62}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 3910845, 'JPM': 61}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 4011000, 'JPM': 60}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 4311465, 'JPM': 57}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 4411620, 'JPM': 56}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 4812240, 'JPM': 52}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 5313015, 'JPM': 47}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 6014100, 'JPM': 40}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 6715185, 'JPM': 33}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 7516425, 'JPM': 25}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 7616580, 'JPM': 24}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 8217510, 'JPM': 18}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 8517975, 'JPM': 15}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 9419370, 'JPM': 6}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 9719835, 'JPM': 3}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 9819990, 'JPM': 2}"
2019-06-28 11:36:00.000000000,HOLDINGS_UPDATED,"{'CASH': 9920145, 'JPM': 1}"
2019-06-28 11:37:00.000000000,HOLDINGS_UPDATED,{'CASH': 10020300}
2019-06-28 11:44:01.889794898,BID_DEPTH,"[(99656, 84)]"
2019-06-28 11:44:01.889794898,ASK_DEPTH,"[(99680, 150)]"
2019-06-28 11:44:01.889794898,IMBALANCE,"[84, 150]"
2019-06-28 12:21:28.038463607,BID_DEPTH,"[(101668, 194)]"
2019-06-28 12:21:28.038463607,ASK_DEPTH,"[(101760, 72)]"
2019-06-28 12:21:28.038463607,IMBALANCE,"[194, 72]"
2019-06-28 12:25:45.424712321,BID_DEPTH,"[(101999, 105)]"
2019-06-28 12:25:45.424712321,ASK_DEPTH,"[(102253, 182)]"
2019-06-28 12:25:45.424712321,IMBALANCE,"[105, 182]"
2019-06-28 12:26:13.009780628,HOLDINGS_UPDATED,"{'CASH': -179700, 'JPM': 100}"
2019-06-28 13:01:49.186533985,BID_DEPTH,"[(99849, 265)]"
2019-06-28 13:01:49.186533985,ASK_DEPTH,"[(99893, 182)]"
2019-06-28 13:01:49.186533985,IMBALANCE,"[265, 182]"
2019-06-28 13:01:49.186533985,HOLDINGS_UPDATED,"{'CASH': -1877881, 'JPM': 117}"
2019-06-28 13:01:49.186533985,HOLDINGS_UPDATED,"{'CASH': -10169000, 'JPM': 200}"
2019-06-28 13:06:02.100324082,BID_DEPTH,"[(99823, 67)]"
2019-06-28 13:06:02.100324082,ASK_DEPTH,"[(99927, 265)]"
2019-06-28 13:06:02.100324082,IMBALANCE,"[67, 265]"
2019-06-28 13:25:51.908682875,BID_DEPTH,"[(100081, 145)]"
2019-06-28 13:25:51.908682875,ASK_DEPTH,"[(100319, 212)]"
2019-06-28 13:25:51.908682875,IMBALANCE,"[145, 212]"
2019-06-28 13:55:26.974581708,BID_DEPTH,"[(101190, 265)]"
2019-06-28 13:55:26.974581708,ASK_DEPTH,"[(101386, 170)]"
2019-06-28 13:55:26.974581708,IMBALANCE,"[265, 170]"
2019-06-28 14:09:00.627536222,BID_DEPTH,"[(100991, 83)]"
2019-06-28 14:09:00.627536222,ASK_DEPTH,"[(101157, 67)]"
2019-06-28 14:09:00.627536222,IMBALANCE,"[83, 67]"
2019-06-28 14:09:00.627536222,HOLDINGS_UPDATED,"{'CASH': -10270157, 'JPM': 201}"
2019-06-28 14:09:00.627536222,HOLDINGS_UPDATED,"{'CASH': -16946519, 'JPM': 267}"
2019-06-28 14:09:39.740248688,HOLDINGS_UPDATED,"{'CASH': -20284700, 'JPM': 300}"
2019-06-28 14:15:19.503564329,BID_DEPTH,"[(100478, 265)]"
2019-06-28 14:15:19.503564329,ASK_DEPTH,"[(101386, 267)]"
2019-06-28 14:15:19.503564329,IMBALANCE,"[265, 267]"
2019-06-28 14:35:15.515879040,BID_DEPTH,"[(100431, 427)]"
2019-06-28 14:35:15.515879040,ASK_DEPTH,"[(101357, 231)]"
2019-06-28 14:35:15.515879040,IMBALANCE,"[427, 231]"
2019-06-28 15:06:45.951351459,BID_DEPTH,"[(100143, 113)]"
2019-06-28 15:06:45.951351459,ASK_DEPTH,"[(100503, 212)]"
2019-06-28 15:06:45.951351459,IMBALANCE,"[113, 212]"
2019-06-28 15:07:00.000000000,HOLDINGS_UPDATED,"{'CASH': -20885558, 'JPM': 306}"
2019-06-28 15:07:00.000000000,HOLDINGS_UPDATED,"{'CASH': -21386273, 'JPM': 311}"
2019-06-28 15:07:00.000000000,HOLDINGS_UPDATED,"{'CASH': -21586559, 'JPM': 313}"
2019-06-28 15:07:00.000000000,HOLDINGS_UPDATED,"{'CASH': -22087274, 'JPM': 318}"
2019-06-28 15:07:00.000000000,HOLDINGS_UPDATED,"{'CASH': -22387703, 'JPM': 321}"
2019-06-28 15:07:00.000000000,HOLDINGS_UPDATED,"{'CASH': -22788275, 'JPM': 325}"
