EventTime,EventType,Event
,AGENT_TYPE,MarketMakerAgent
,STARTING_CASH,10000000
2019-06-28 09:30:00.000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
2019-06-28 09:30:10.000000000,BID_DEPTH,"[(100001, 100), (99985, 100), (99976, 100), (99970, 100), (99964, 100)]"
2019-06-28 09:30:10.000000000,ASK_DEPTH,"[(100017, 200), (100029, 100), (100030, 200), (100031, 100), (100037, 100)]"
2019-06-28 09:30:10.000000000,IMBALANCE,"[500, 700]"
2019-06-28 09:30:20.000000000,BID_DEPTH,"[(100001, 100), (99985, 100), (99976, 100), (99970, 100), (99964, 100)]"
2019-06-28 09:30:20.000000000,ASK_DEPTH,"[(100017, 200), (100029, 100), (100030, 200), (100031, 100), (100037, 100)]"
2019-06-28 09:30:20.000000000,IMBALANCE,"[500, 700]"
2019-06-28 09:30:30.000000000,BID_DEPTH,"[(99985, 100), (99976, 100), (99970, 100), (99964, 100), (99939, 100)]"
2019-06-28 09:30:30.000000000,ASK_DEPTH,"[(100017, 200), (100029, 100), (100030, 200), (100031, 100), (100037, 100)]"
2019-06-28 09:30:30.000000000,IMBALANCE,"[500, 700]"
2019-06-28 09:30:40.000000000,BID_DEPTH,"[(99985, 100), (99976, 100), (99970, 100), (99964, 100), (99939, 100)]"
2019-06-28 09:30:40.000000000,ASK_DEPTH,"[(100017, 200), (100022, 100), (100029, 100), (100030, 200), (100031, 100)]"
2019-06-28 09:30:40.000000000,IMBALANCE,"[500, 700]"
2019-06-28 09:30:50.000000000,BID_DEPTH,"[(99985, 100), (99976, 100), (99970, 100), (99964, 100), (99939, 100)]"
2019-06-28 09:30:50.000000000,ASK_DEPTH,"[(100017, 200), (100022, 100), (100029, 100), (100030, 200), (100031, 100)]"
2019-06-28 09:30:50.000000000,IMBALANCE,"[500, 700]"
2019-06-28 09:31:00.000000000,BID_DEPTH,"[(99976, 100), (99970, 100), (99964, 100), (99939, 100), (99934, 200)]"
2019-06-28 09:31:00.000000000,ASK_DEPTH,"[(100017, 200), (100022, 100), (100029, 100), (100030, 200), (100031, 100)]"
2019-06-28 09:31:00.000000000,IMBALANCE,"[600, 700]"
2019-06-28 09:31:10.000000000,BID_DEPTH,"[(99976, 100), (99970, 100), (99964, 100), (99939, 100), (99934, 200)]"
2019-06-28 09:31:10.000000000,ASK_DEPTH,"[(100017, 200), (100022, 100), (100029, 100), (100030, 200), (100031, 100)]"
2019-06-28 09:31:10.000000000,IMBALANCE,"[600, 700]"
2019-06-28 09:31:20.000000000,BID_DEPTH,"[(99976, 100), (99970, 100), (99964, 100), (99939, 100), (99934, 200)]"
2019-06-28 09:31:20.000000000,ASK_DEPTH,"[(100017, 200), (100022, 100), (100029, 100), (100030, 200), (100031, 100)]"
2019-06-28 09:31:20.000000000,IMBALANCE,"[600, 700]"
2019-06-28 09:31:30.000000000,BID_DEPTH,"[(99976, 100), (99970, 100), (99964, 100), (99939, 100), (99934, 200)]"
2019-06-28 09:31:30.000000000,ASK_DEPTH,"[(100017, 200), (100022, 100), (100029, 100), (100030, 200), (100031, 100)]"
2019-06-28 09:31:30.000000000,IMBALANCE,"[600, 700]"
2019-06-28 09:31:40.000000000,BID_DEPTH,"[(99976, 100), (99970, 100), (99964, 100), (99939, 100), (99934, 200)]"
2019-06-28 09:31:40.000000000,ASK_DEPTH,"[(100017, 200), (100022, 100), (100029, 100), (100030, 200), (100031, 100)]"
