,ask_price_1,ask_size_1,bid_price_1,bid_size_1,ask_price_2,ask_size_2,bid_price_2,bid_size_2,ask_price_3,ask_size_3,bid_price_3,bid_size_3,ask_price_4,ask_size_4,bid_price_4,bid_size_4,ask_price_5,ask_size_5,bid_price_5,bid_size_5,ask_price_6,ask_size_6,bid_price_6,bid_size_6,ask_price_7,ask_size_7,bid_price_7,bid_size_7,ask_price_8,ask_size_8,bid_price_8,bid_size_8,ask_price_9,ask_size_9,bid_price_9,bid_size_9,ask_price_10,ask_size_10,bid_price_10,bid_size_10
2019-06-28 09:30:00.000000002,,,99944,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000003,100007,100,99944,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000004,100007,100,99944,100,100113,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000005,100007,100,99944,100,100113,100,99888,100,100229,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000006,100007,100,99944,100,100022,100,99888,100,100113,100,99828,100,100229,100,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000008,100022,100,99944,100,100113,100,99888,100,100229,100,99828,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000009,100022,100,99944,100,100029,100,99888,100,100038,100,99828,100,100113,100,,,100229,100,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000010,100029,100,100006,100,100038,100,99944,100,100113,100,99888,100,100229,100,99828,100,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000014,100029,100,100006,100,100038,100,99944,100,100113,100,99913,100,100229,100,99888,100,,,99828,100,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000015,100022,100,100006,100,100029,100,99944,100,100038,100,99913,100,100113,100,99888,100,100229,100,99828,100,,,,,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000016,100022,100,100006,100,100029,100,99999,100,100038,100,99944,100,100113,100,99913,100,100229,100,99888,100,,,99828,100,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000017,100022,100,100006,100,100029,100,99999,100,100038,100,99961,100,100113,100,99944,100,100229,100,99913,100,,,99888,100,,,99828,100,,,,,,,,,,,,
2019-06-28 09:30:00.000000020,100022,100,99999,100,100029,100,99961,100,100038,100,99944,100,100113,100,99913,100,100229,100,99888,100,,,99828,100,,,,,,,,,,,,,,,,
2019-06-28 09:30:00.000000022,100022,100,99999,100,100029,100,99961,100,100038,100,99944,100,100113,100,99913,100,100229,100,99897,100,,,99888,100,,,99828,100,,,,,,,,,,,,
2019-06-28 09:30:00.000000023,100022,100,100006,100,100029,100,99999,100,100038,100,99961,100,100113,100,99944,100,100229,100,99916,100,,,99913,100,,,99897,100,,,99888,100,,,99828,100,,,,
2019-06-28 09:30:00.000000025,100022,100,99999,100,100029,100,99961,100,100038,100,99944,100,100113,100,99916,100,100229,100,99913,100,,,99897,100,,,99889,100,,,99888,100,,,99828,100,,,,
2019-06-28 09:30:00.000000026,100022,100,99999,100,100029,100,99961,100,100038,100,99944,100,100113,100,99916,100,100229,100,99913,100,,,99897,100,,,99889,100,,,99888,100,,,99828,100,,,99819,100
2019-06-28 09:30:00.000000027,100015,100,99999,100,100022,100,99961,100,100029,100,99944,100,100038,100,99916,100,100113,100,99913,100,100229,100,99897,100,,,99889,100,,,99888,100,,,99828,100,,,99819,100
2019-06-28 09:30:00.000000030,100015,100,99999,100,100022,100,99961,100,100029,100,99944,100,100038,100,99916,100,100113,100,99913,100,100229,100,99897,100,,,99889,100,,,99888,100,,,99864,100,,,99828,100
2019-06-28 09:30:00.000000040,100015,100,99961,100,100022,100,99944,100,100029,100,99916,100,100038,100,99913,100,100113,100,99897,100,100229,100,99889,100,,,99888,100,,,99864,100,,,99828,100,,,99819,100
2019-06-28 09:30:00.000000042,100015,100,99961,100,100022,100,99944,100,100029,100,99927,100,100038,100,99916,100,100077,100,99913,100,100113,100,99897,100,100229,100,99889,100,,,99888,100,,,99864,100,,,99828,100
