EventTime,EventType,Event
,AGENT_TYPE,HeuristicBeliefLearningAgent
,STARTING_CASH,10000000
2019-06-28 09:30:00.000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
2019-06-28 09:30:00.000000021,BID_DEPTH,"[(99976, 100)]"
2019-06-28 09:30:00.000000021,ASK_DEPTH,"[(100024, 100)]"
2019-06-28 09:30:00.000000021,IMBALANCE,"[100, 100]"
2019-06-28 09:38:02.481090358,BID_DEPTH,"[(99941, 249)]"
2019-06-28 09:38:02.481090358,ASK_DEPTH,"[(100015, 249)]"
2019-06-28 09:38:02.481090358,IMBALANCE,"[249, 249]"
2019-06-28 09:43:57.137495994,BID_DEPTH,"[(100056, 639)]"
2019-06-28 09:43:57.137495994,ASK_DEPTH,"[(100167, 539)]"
2019-06-28 09:43:57.137495994,IMBALANCE,"[639, 539]"
2019-06-28 10:00:34.002131105,BID_DEPTH,"[(99868, 210)]"
2019-06-28 10:00:34.002131105,ASK_DEPTH,"[(99914, 210)]"
2019-06-28 10:00:34.002131105,IMBALANCE,"[210, 210]"
2019-06-28 10:00:34.002131105,HOLDINGS_UPDATED,"{'CASH': 8600, 'JPM': 100}"
2019-06-28 10:14:50.273097495,BID_DEPTH,"[(99756, 188)]"
2019-06-28 10:14:50.273097495,ASK_DEPTH,"[(99913, 188)]"
2019-06-28 10:14:50.273097495,IMBALANCE,"[188, 188]"
2019-06-28 10:35:02.858187021,BID_DEPTH,"[(101902, 100)]"
2019-06-28 10:35:02.858187021,ASK_DEPTH,[]
2019-06-28 10:35:02.858187021,IMBALANCE,"[100, 0]"
2019-06-28 11:11:37.153302407,BID_DEPTH,"[(99017, 210)]"
2019-06-28 11:11:37.153302407,ASK_DEPTH,"[(99298, 210)]"
2019-06-28 11:11:37.153302407,IMBALANCE,"[210, 210]"
2019-06-28 11:13:00.301398993,BID_DEPTH,"[(99218, 113)]"
2019-06-28 11:13:00.301398993,ASK_DEPTH,"[(99257, 97)]"
2019-06-28 11:13:00.301398993,IMBALANCE,"[113, 97]"
2019-06-28 11:13:00.301398993,HOLDINGS_UPDATED,"{'CASH': -9619329, 'JPM': 197}"
2019-06-28 11:16:57.487216662,BID_DEPTH,"[(99299, 349)]"
2019-06-28 11:16:57.487216662,ASK_DEPTH,"[(99435, 249)]"
2019-06-28 11:16:57.487216662,IMBALANCE,"[349, 249]"
2019-06-28 11:45:33.901907464,BID_DEPTH,"[(100640, 188)]"
2019-06-28 11:45:33.901907464,ASK_DEPTH,"[(100666, 100)]"
2019-06-28 11:45:33.901907464,IMBALANCE,"[188, 100]"
2019-06-28 11:46:09.877637280,BID_DEPTH,"[(100640, 427)]"
2019-06-28 11:46:09.877637280,ASK_DEPTH,"[(100666, 539)]"
2019-06-28 11:46:09.877637280,IMBALANCE,"[427, 539]"
2019-06-28 11:46:09.877637280,HOLDINGS_UPDATED,"{'CASH': 444671, 'JPM': 97}"
2019-06-28 12:21:25.149850276,BID_DEPTH,"[(99564, 188)]"
2019-06-28 12:21:25.149850276,ASK_DEPTH,"[(99948, 188)]"
2019-06-28 12:21:25.149850276,IMBALANCE,"[188, 188]"
2019-06-28 12:38:25.789880334,BID_DEPTH,"[(98879, 100)]"
2019-06-28 12:38:25.789880334,ASK_DEPTH,"[(99366, 111)]"
2019-06-28 12:38:25.789880334,IMBALANCE,"[100, 111]"
2019-06-28 12:38:45.772277340,BID_DEPTH,"[(98388, 211)]"
2019-06-28 12:38:45.772277340,ASK_DEPTH,"[(99366, 111)]"
2019-06-28 12:38:45.772277340,IMBALANCE,"[211, 111]"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -342441, 'JPM': 105}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -637608, 'JPM': 108}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -735997, 'JPM': 109}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -1326331, 'JPM': 115}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -2113443, 'JPM': 123}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -2408610, 'JPM': 126}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -3294111, 'JPM': 135}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -3884445, 'JPM': 141}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -4081223, 'JPM': 143}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -4278001, 'JPM': 145}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -5065113, 'JPM': 153}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -5753836, 'JPM': 160}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -6147392, 'JPM': 164}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -6245781, 'JPM': 165}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -6344170, 'JPM': 166}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -6442559, 'JPM': 167}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -6836115, 'JPM': 171}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -7721616, 'JPM': 180}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -8508728, 'JPM': 188}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -8705506, 'JPM': 190}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -9295840, 'JPM': 196}"
2019-06-28 12:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': -9394229, 'JPM': 197}"
2019-06-28 13:07:51.220017342,BID_DEPTH,"[(98544, 617)]"
2019-06-28 13:07:51.220017342,ASK_DEPTH,"[(99783, 539)]"
2019-06-28 13:07:51.220017342,IMBALANCE,"[617, 539]"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -10190549, 'JPM': 205}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -10489169, 'JPM': 208}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -10588709, 'JPM': 209}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -11185949, 'JPM': 215}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -11982269, 'JPM': 223}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -12280889, 'JPM': 226}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -13176749, 'JPM': 235}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -13773989, 'JPM': 241}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -13973069, 'JPM': 243}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -14172149, 'JPM': 245}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -14968469, 'JPM': 253}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -15665249, 'JPM': 260}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -16063409, 'JPM': 264}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -16162949, 'JPM': 265}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -16262489, 'JPM': 266}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -16362029, 'JPM': 267}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -16760189, 'JPM': 271}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -17656049, 'JPM': 280}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -18452369, 'JPM': 288}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -18651449, 'JPM': 290}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -19248689, 'JPM': 296}"
2019-06-28 13:08:00.000000000,HOLDINGS_UPDATED,"{'CASH': -19348229, 'JPM': 297}"
2019-06-28 13:12:34.137677132,BID_DEPTH,"[(99964, 210)]"
2019-06-28 13:12:34.137677132,ASK_DEPTH,"[(100116, 210)]"
2019-06-28 13:12:34.137677132,IMBALANCE,"[210, 210]"
2019-06-28 13:23:26.318992581,BID_DEPTH,"[(99564, 539)]"
2019-06-28 13:23:26.318992581,ASK_DEPTH,"[(99581, 539)]"
2019-06-28 13:23:26.318992581,IMBALANCE,"[539, 539]"
2019-06-28 13:24:00.000000000,HOLDINGS_UPDATED,"{'CASH': -19149067, 'JPM': 295}"
2019-06-28 13:24:00.000000000,HOLDINGS_UPDATED,"{'CASH': -18551581, 'JPM': 289}"
2019-06-28 13:24:00.000000000,HOLDINGS_UPDATED,"{'CASH': -18153257, 'JPM': 285}"
2019-06-28 13:26:00.000000000,HOLDINGS_UPDATED,"{'CASH': -17356609, 'JPM': 277}"
2019-06-28 13:26:00.000000000,HOLDINGS_UPDATED,"{'CASH': -17057866, 'JPM': 274}"
2019-06-28 13:26:00.000000000,HOLDINGS_UPDATED,"{'CASH': -16958285, 'JPM': 273}"
2019-06-28 13:26:00.000000000,HOLDINGS_UPDATED,"{'CASH': -16360799, 'JPM': 267}"
2019-06-28 13:26:00.000000000,HOLDINGS_UPDATED,"{'CASH': -15564151, 'JPM': 259}"
2019-06-28 13:26:00.000000000,HOLDINGS_UPDATED,"{'CASH': -15265408, 'JPM': 256}"
2019-06-28 13:26:00.000000000,HOLDINGS_UPDATED,"{'CASH': -14369179, 'JPM': 247}"
2019-06-28 13:26:00.000000000,HOLDINGS_UPDATED,"{'CASH': -13771693, 'JPM': 241}"
2019-06-28 13:26:00.000000000,HOLDINGS_UPDATED,"{'CASH': -13572531, 'JPM': 239}"
2019-06-28 13:26:00.000000000,HOLDINGS_UPDATED,"{'CASH': -13373369, 'JPM': 237}"
2019-06-28 13:26:00.000000000,HOLDINGS_UPDATED,"{'CASH': -12576721, 'JPM': 229}"
2019-06-28 13:26:00.000000000,HOLDINGS_UPDATED,"{'CASH': -11879654, 'JPM': 222}"
2019-06-28 13:26:00.000000000,HOLDINGS_UPDATED,"{'CASH': -11481330, 'JPM': 218}"
2019-06-28 13:26:00.000000000,HOLDINGS_UPDATED,"{'CASH': -11381749, 'JPM': 217}"
2019-06-28 13:26:00.000000000,HOLDINGS_UPDATED,"{'CASH': -11282168, 'JPM': 216}"
2019-06-28 13:26:00.000000000,HOLDINGS_UPDATED,"{'CASH': -11182587, 'JPM': 215}"
2019-06-28 13:26:00.000000000,HOLDINGS_UPDATED,"{'CASH': -10784263, 'JPM': 211}"
2019-06-28 13:26:00.000000000,HOLDINGS_UPDATED,"{'CASH': -9888034, 'JPM': 202}"
2019-06-28 13:26:00.000000000,HOLDINGS_UPDATED,"{'CASH': -9390129, 'JPM': 197}"
2019-06-28 13:57:27.352938697,BID_DEPTH,"[(99205, 210)]"
2019-06-28 13:57:27.352938697,ASK_DEPTH,"[(99213, 210)]"
2019-06-28 13:57:27.352938697,IMBALANCE,"[210, 210]"
