EventTime,EventType,Event
,AGENT_TYPE,AgentUnderTest
,STARTING_CASH,10000000
2019-06-28 09:30:00,HOLDINGS_UPDATED,{'CASH': 10000000}
2019-06-28 09:31:00,BID_DEPTH,"[(99978, 244)]"
2019-06-28 09:31:00,ASK_DEPTH,"[(99982, 244)]"
2019-06-28 09:31:00,IMBALANCE,"[244, 244]"
2019-06-28 09:32:00,BID_DEPTH,"[(99978, 158)]"
2019-06-28 09:32:00,ASK_DEPTH,"[(99982, 158)]"
2019-06-28 09:32:00,IMBALANCE,"[158, 158]"
2019-06-28 09:33:00,BID_DEPTH,"[(99963, 172)]"
2019-06-28 09:33:00,ASK_DEPTH,"[(99981, 172)]"
2019-06-28 09:33:00,IMBALANCE,"[172, 172]"
2019-06-28 09:34:00,BID_DEPTH,"[(99956, 172)]"
2019-06-28 09:34:00,ASK_DEPTH,"[(99960, 74)]"
2019-06-28 09:34:00,IMBALANCE,"[172, 74]"
2019-06-28 09:35:00,BID_DEPTH,"[(99956, 198)]"
2019-06-28 09:35:00,ASK_DEPTH,"[(99960, 100)]"
2019-06-28 09:35:00,IMBALANCE,"[198, 100]"
2019-06-28 09:36:00,BID_DEPTH,"[(99952, 389)]"
2019-06-28 09:36:00,ASK_DEPTH,"[(99960, 291)]"
2019-06-28 09:36:00,IMBALANCE,"[389, 291]"
2019-06-28 09:37:00,BID_DEPTH,"[(99932, 389)]"
2019-06-28 09:37:00,ASK_DEPTH,"[(99938, 345)]"
2019-06-28 09:37:00,IMBALANCE,"[389, 345]"
2019-06-28 09:38:00,BID_DEPTH,"[(99885, 244)]"
2019-06-28 09:38:00,ASK_DEPTH,"[(99919, 244)]"
2019-06-28 09:38:00,IMBALANCE,"[244, 244]"
2019-06-28 09:39:00,BID_DEPTH,"[(99802, 389)]"
2019-06-28 09:39:00,ASK_DEPTH,"[(99919, 389)]"
2019-06-28 09:39:00,IMBALANCE,"[389, 389]"
2019-06-28 09:40:00,BID_DEPTH,"[(99802, 389)]"
2019-06-28 09:40:00,ASK_DEPTH,"[(99919, 389)]"
2019-06-28 09:40:00,IMBALANCE,"[389, 389]"
2019-06-28 09:41:00,BID_DEPTH,"[(99802, 389)]"
2019-06-28 09:41:00,ASK_DEPTH,"[(99903, 389)]"
2019-06-28 09:41:00,IMBALANCE,"[389, 389]"
2019-06-28 09:42:00,BID_DEPTH,"[(99755, 158)]"
2019-06-28 09:42:00,ASK_DEPTH,"[(99825, 158)]"
2019-06-28 09:42:00,IMBALANCE,"[158, 158]"
2019-06-28 09:43:00,BID_DEPTH,"[(99577, 158)]"
2019-06-28 09:43:00,ASK_DEPTH,"[(99817, 158)]"
2019-06-28 09:43:00,IMBALANCE,"[158, 158]"
2019-06-28 09:44:00,BID_DEPTH,"[(99577, 172)]"
2019-06-28 09:44:00,ASK_DEPTH,"[(99802, 272)]"
2019-06-28 09:44:00,IMBALANCE,"[172, 272]"
2019-06-28 09:45:00,BID_DEPTH,"[(99802, 246)]"
