EventTime,EventType,Event
,AGENT_TYPE,HeuristicBeliefLearningAgent
,STARTING_CASH,10000000
2019-06-28 09:30:00.000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
2019-06-28 09:30:00.000000072,BID_DEPTH,"[(100012, 100)]"
2019-06-28 09:30:00.000000072,ASK_DEPTH,"[(100035, 100)]"
2019-06-28 09:30:00.000000072,IMBALANCE,"[100, 100]"
2019-06-28 09:39:10.267429585,BID_DEPTH,"[(99949, 175)]"
2019-06-28 09:39:10.267429585,ASK_DEPTH,"[(99983, 175)]"
2019-06-28 09:39:10.267429585,IMBALANCE,"[175, 175]"
2019-06-28 09:44:21.218883019,BID_DEPTH,"[(99877, 476)]"
2019-06-28 09:44:21.218883019,ASK_DEPTH,"[(99917, 476)]"
2019-06-28 09:44:21.218883019,IMBALANCE,"[476, 476]"
2019-06-28 10:22:31.590723697,BID_DEPTH,"[(99634, 401)]"
2019-06-28 10:22:31.590723697,ASK_DEPTH,"[(99781, 476)]"
2019-06-28 10:22:31.590723697,IMBALANCE,"[401, 476]"
2019-06-28 10:28:58.818003571,BID_DEPTH,"[(100933, 476)]"
2019-06-28 10:28:58.818003571,ASK_DEPTH,"[(100947, 486)]"
2019-06-28 10:28:58.818003571,IMBALANCE,"[476, 486]"
2019-06-28 10:53:10.059856403,BID_DEPTH,"[(99680, 288)]"
2019-06-28 10:53:10.059856403,ASK_DEPTH,"[(99983, 208)]"
2019-06-28 10:53:10.059856403,IMBALANCE,"[288, 208]"
2019-06-28 11:02:19.694380990,BID_DEPTH,"[(99165, 175)]"
2019-06-28 11:02:19.694380990,ASK_DEPTH,"[(99200, 80)]"
2019-06-28 11:02:19.694380990,IMBALANCE,"[175, 80]"
2019-06-28 11:38:27.648634043,BID_DEPTH,"[(98670, 194)]"
2019-06-28 11:38:27.648634043,ASK_DEPTH,"[(99836, 218)]"
2019-06-28 11:38:27.648634043,IMBALANCE,"[194, 218]"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 10199670, 'JPM': -2}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 10599010, 'JPM': -6}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 10998350, 'JPM': -10}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 11497525, 'JPM': -15}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 12296205, 'JPM': -23}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 12695545, 'JPM': -27}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 13294555, 'JPM': -33}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 13494225, 'JPM': -35}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 14093235, 'JPM': -41}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 14692245, 'JPM': -47}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 15391090, 'JPM': -54}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 15690595, 'JPM': -57}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 15790430, 'JPM': -58}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 16289605, 'JPM': -63}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 16389440, 'JPM': -64}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 16688945, 'JPM': -67}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 16788780, 'JPM': -68}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 16888615, 'JPM': -69}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 17287955, 'JPM': -73}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 17886965, 'JPM': -79}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 18086635, 'JPM': -81}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 18186470, 'JPM': -82}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 18386140, 'JPM': -84}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 18985150, 'JPM': -90}"
2019-06-28 11:39:00.000000000,HOLDINGS_UPDATED,"{'CASH': 19883665, 'JPM': -99}"
2019-06-28 11:51:36.480419492,BID_DEPTH,"[(99293, 175)]"
2019-06-28 11:51:36.480419492,ASK_DEPTH,"[(99346, 20)]"
2019-06-28 11:51:36.480419492,IMBALANCE,"[175, 20]"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 20082365, 'JPM': -101}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 20479765, 'JPM': -105}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 20877165, 'JPM': -109}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 21373915, 'JPM': -114}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 22168715, 'JPM': -122}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 22566115, 'JPM': -126}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 23162215, 'JPM': -132}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 23360915, 'JPM': -134}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 23957015, 'JPM': -140}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 24553115, 'JPM': -146}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 25248565, 'JPM': -153}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 25546615, 'JPM': -156}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 25645965, 'JPM': -157}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 26142715, 'JPM': -162}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 26242065, 'JPM': -163}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 26540115, 'JPM': -166}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 26639465, 'JPM': -167}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 26738815, 'JPM': -168}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 27136215, 'JPM': -172}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 27732315, 'JPM': -178}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 27931015, 'JPM': -180}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 28030365, 'JPM': -181}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 28229065, 'JPM': -183}"
2019-06-28 11:53:00.000000000,HOLDINGS_UPDATED,"{'CASH': 28825165, 'JPM': -189}"
2019-06-28 11:53:36.689615016,HOLDINGS_UPDATED,"{'CASH': 29818665, 'JPM': -199}"
2019-06-28 12:05:16.153843956,BID_DEPTH,"[(100645, 219)]"
2019-06-28 12:05:16.153843956,ASK_DEPTH,"[(100672, 138)]"
2019-06-28 12:05:16.153843956,IMBALANCE,"[219, 138]"
2019-06-28 12:16:38.805592299,BID_DEPTH,"[(100182, 75)]"
2019-06-28 12:16:38.805592299,ASK_DEPTH,"[(100630, 245)]"
2019-06-28 12:16:38.805592299,IMBALANCE,"[75, 245]"
2019-06-28 12:47:05.926333275,BID_DEPTH,"[(99903, 189)]"
2019-06-28 12:47:05.926333275,ASK_DEPTH,"[(99957, 188)]"
2019-06-28 12:47:05.926333275,IMBALANCE,"[189, 188]"
2019-06-28 13:22:55.419947124,HOLDINGS_UPDATED,"{'CASH': 19928268, 'JPM': -100}"
2019-06-28 13:23:37.405768904,HOLDINGS_UPDATED,"{'CASH': 19828365, 'JPM': -99}"
2019-06-28 13:23:57.003640774,BID_DEPTH,"[(99841, 194)]"
2019-06-28 13:23:57.003640774,ASK_DEPTH,"[(99903, 99)]"
2019-06-28 13:23:57.003640774,IMBALANCE,"[194, 99]"
2019-06-28 13:26:35.071740504,BID_DEPTH,"[(99592, 288)]"
2019-06-28 13:26:35.071740504,ASK_DEPTH,"[(99979, 190)]"
2019-06-28 13:26:35.071740504,IMBALANCE,"[288, 190]"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 20028321, 'JPM': -101}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 20428233, 'JPM': -105}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 20828145, 'JPM': -109}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 21328035, 'JPM': -114}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 22127859, 'JPM': -122}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 22527771, 'JPM': -126}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 23127639, 'JPM': -132}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 23327595, 'JPM': -134}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 23927463, 'JPM': -140}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 24527331, 'JPM': -146}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 25227177, 'JPM': -153}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 25527111, 'JPM': -156}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 25627089, 'JPM': -157}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 26126979, 'JPM': -162}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 26226957, 'JPM': -163}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 26526891, 'JPM': -166}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 26626869, 'JPM': -167}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 26726847, 'JPM': -168}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 27126759, 'JPM': -172}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 27726627, 'JPM': -178}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 27926583, 'JPM': -180}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 28026561, 'JPM': -181}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 28226517, 'JPM': -183}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 28826385, 'JPM': -189}"
2019-06-28 13:27:00.000000000,HOLDINGS_UPDATED,"{'CASH': 29726187, 'JPM': -198}"
