EventTime,EventType,Event
,AGENT_TYPE,ZeroIntelligenceAgent
,STARTING_CASH,10000000
2019-06-28 09:30:00.000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
2019-06-28 09:30:00.000000000,BID_DEPTH,[]
2019-06-28 09:30:00.000000000,ASK_DEPTH,[]
2019-06-28 09:30:00.000000000,IMBALANCE,"[0, 0]"
2019-06-28 09:41:27.423009188,HOLDINGS_UPDATED,"{'CASH': 20005800, 'JPM': -100}"
2019-06-28 09:54:00.335061760,BID_DEPTH,"[(100058, 346)]"
2019-06-28 09:54:00.335061760,ASK_DEPTH,"[(100165, 346)]"
2019-06-28 09:54:00.335061760,IMBALANCE,"[346, 346]"
2019-06-28 09:54:08.447519012,HOLDINGS_UPDATED,"{'CASH': 30017100, 'JPM': -200}"
2019-06-28 10:11:06.167302631,BID_DEPTH,"[(100056, 346)]"
2019-06-28 10:11:06.167302631,ASK_DEPTH,"[(100165, 346)]"
2019-06-28 10:11:06.167302631,IMBALANCE,"[346, 346]"
2019-06-28 10:11:06.167302631,HOLDINGS_UPDATED,"{'CASH': 20000600, 'JPM': -100}"
2019-06-28 10:11:25.409961432,BID_DEPTH,"[(100165, 323)]"
2019-06-28 10:11:25.409961432,ASK_DEPTH,"[(100213, 223)]"
2019-06-28 10:11:25.409961432,IMBALANCE,"[323, 223]"
2019-06-28 10:27:34.778849891,BID_DEPTH,"[(100722, 267)]"
2019-06-28 10:27:34.778849891,ASK_DEPTH,"[(100732, 250)]"
2019-06-28 10:27:34.778849891,IMBALANCE,"[267, 250]"
2019-06-28 10:28:34.567796531,BID_DEPTH,"[(100732, 692)]"
2019-06-28 10:28:34.567796531,ASK_DEPTH,"[(100806, 492)]"
2019-06-28 10:28:34.567796531,IMBALANCE,"[692, 492]"
2019-06-28 10:29:30.721946931,BID_DEPTH,"[(100732, 323)]"
2019-06-28 10:29:30.721946931,ASK_DEPTH,"[(100888, 223)]"
2019-06-28 10:29:30.721946931,IMBALANCE,"[323, 223]"
2019-06-28 10:29:41.195618195,BID_DEPTH,"[(100732, 323)]"
2019-06-28 10:29:41.195618195,ASK_DEPTH,"[(100888, 223)]"
2019-06-28 10:29:41.195618195,IMBALANCE,"[323, 223]"
2019-06-28 10:29:41.195618195,HOLDINGS_UPDATED,{'CASH': 9911800}
2019-06-28 10:35:47.508203360,BID_DEPTH,"[(100722, 267)]"
2019-06-28 10:35:47.508203360,ASK_DEPTH,"[(100732, 100)]"
2019-06-28 10:35:47.508203360,IMBALANCE,"[267, 100]"
2019-06-28 10:39:12.506041959,HOLDINGS_UPDATED,"{'CASH': -102900, 'JPM': 100}"
2019-06-28 10:42:59.095282674,BID_DEPTH,"[(100029, 592)]"
2019-06-28 10:42:59.095282674,ASK_DEPTH,"[(100211, 492)]"
2019-06-28 10:42:59.095282674,IMBALANCE,"[592, 492]"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 97524, 'JPM': 98}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 398160, 'JPM': 95}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 1199856, 'JPM': 87}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 1600704, 'JPM': 83}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 2001552, 'JPM': 79}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 2903460, 'JPM': 70}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 3204096, 'JPM': 67}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 3604944, 'JPM': 63}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 4106004, 'JPM': 58}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 4506852, 'JPM': 54}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 4707276, 'JPM': 52}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 5508972, 'JPM': 44}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 5809608, 'JPM': 41}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 6711516, 'JPM': 32}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 6811728, 'JPM': 31}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 7513212, 'JPM': 24}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 8014272, 'JPM': 19}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 8415120, 'JPM': 15}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 9317028, 'JPM': 6}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 9517452, 'JPM': 4}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,"{'CASH': 9818088, 'JPM': 1}"
2019-06-28 10:43:00.000000000,HOLDINGS_UPDATED,{'CASH': 9918300}
2019-06-28 10:59:45.244098253,BID_DEPTH,"[(100193, 98)]"
2019-06-28 10:59:45.244098253,ASK_DEPTH,"[(100235, 100)]"
2019-06-28 10:59:45.244098253,IMBALANCE,"[98, 100]"
2019-06-28 11:08:49.067299981,HOLDINGS_UPDATED,"{'CASH': -76200, 'JPM': 100}"
2019-06-28 11:17:32.629720980,BID_DEPTH,"[(98526, 223)]"
2019-06-28 11:17:32.629720980,ASK_DEPTH,"[(99788, 611)]"
2019-06-28 11:17:32.629720980,IMBALANCE,"[223, 611]"
2019-06-28 11:29:00.000000000,HOLDINGS_UPDATED,"{'CASH': -271764, 'JPM': 102}"
2019-06-28 11:29:00.000000000,HOLDINGS_UPDATED,"{'CASH': -565110, 'JPM': 105}"
2019-06-28 11:29:00.000000000,HOLDINGS_UPDATED,"{'CASH': -1347366, 'JPM': 113}"
2019-06-28 11:29:00.000000000,HOLDINGS_UPDATED,"{'CASH': -1738494, 'JPM': 117}"
2019-06-28 11:29:00.000000000,HOLDINGS_UPDATED,"{'CASH': -2129622, 'JPM': 121}"
2019-06-28 11:29:00.000000000,HOLDINGS_UPDATED,"{'CASH': -3009660, 'JPM': 130}"
2019-06-28 11:29:00.000000000,HOLDINGS_UPDATED,"{'CASH': -3303006, 'JPM': 133}"
2019-06-28 11:29:00.000000000,HOLDINGS_UPDATED,"{'CASH': -3694134, 'JPM': 137}"
2019-06-28 11:29:00.000000000,HOLDINGS_UPDATED,"{'CASH': -4183044, 'JPM': 142}"
2019-06-28 11:29:00.000000000,HOLDINGS_UPDATED,"{'CASH': -4574172, 'JPM': 146}"
2019-06-28 11:29:00.000000000,HOLDINGS_UPDATED,"{'CASH': -4769736, 'JPM': 148}"
2019-06-28 11:29:00.000000000,HOLDINGS_UPDATED,"{'CASH': -5551992, 'JPM': 156}"
2019-06-28 11:29:00.000000000,HOLDINGS_UPDATED,"{'CASH': -5845338, 'JPM': 159}"
2019-06-28 11:29:00.000000000,HOLDINGS_UPDATED,"{'CASH': -6725376, 'JPM': 168}"
