EventTime,EventType,Event
,AGENT_TYPE,ZeroIntelligenceAgent
,STARTING_CASH,10000000
2019-06-28 09:30:00.000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
2019-06-28 09:30:00.000000026,BID_DEPTH,"[(100078, 100)]"
2019-06-28 09:30:00.000000026,ASK_DEPTH,"[(100096, 100)]"
2019-06-28 09:30:00.000000026,IMBALANCE,"[100, 100]"
2019-06-28 09:42:35.837941670,BID_DEPTH,"[(99905, 316)]"
2019-06-28 09:42:35.837941670,ASK_DEPTH,"[(100006, 416)]"
2019-06-28 09:42:35.837941670,IMBALANCE,"[316, 416]"
2019-06-28 09:42:35.837941670,HOLDINGS_UPDATED,"{'CASH': -600, 'JPM': 100}"
2019-06-28 09:50:53.278150094,BID_DEPTH,"[(99126, 562)]"
2019-06-28 09:50:53.278150094,ASK_DEPTH,"[(99887, 662)]"
2019-06-28 09:50:53.278150094,IMBALANCE,"[562, 662]"
2019-06-28 09:50:53.278150094,HOLDINGS_UPDATED,{'CASH': 9912000}
2019-06-28 10:31:31.570509819,BID_DEPTH,"[(98646, 257)]"
2019-06-28 10:31:31.570509819,ASK_DEPTH,"[(98654, 257)]"
2019-06-28 10:31:31.570509819,IMBALANCE,"[257, 257]"
2019-06-28 10:34:00.000000000,HOLDINGS_UPDATED,"{'CASH': 9025770, 'JPM': 9}"
2019-06-28 10:34:00.000000000,HOLDINGS_UPDATED,"{'CASH': 8336480, 'JPM': 16}"
2019-06-28 10:34:00.000000000,HOLDINGS_UPDATED,"{'CASH': 7450250, 'JPM': 25}"
2019-06-28 10:34:00.000000000,HOLDINGS_UPDATED,"{'CASH': 7154840, 'JPM': 28}"
2019-06-28 10:34:00.000000000,HOLDINGS_UPDATED,"{'CASH': 6662490, 'JPM': 33}"
2019-06-28 10:34:00.000000000,HOLDINGS_UPDATED,"{'CASH': 5776260, 'JPM': 42}"
2019-06-28 10:34:00.000000000,HOLDINGS_UPDATED,"{'CASH': 5185440, 'JPM': 48}"
2019-06-28 10:34:00.000000000,HOLDINGS_UPDATED,"{'CASH': 4299210, 'JPM': 57}"
2019-06-28 10:34:00.000000000,HOLDINGS_UPDATED,"{'CASH': 3511450, 'JPM': 65}"
2019-06-28 10:34:00.000000000,HOLDINGS_UPDATED,"{'CASH': 2723690, 'JPM': 73}"
2019-06-28 10:34:00.000000000,HOLDINGS_UPDATED,"{'CASH': 2428280, 'JPM': 76}"
2019-06-28 10:34:00.000000000,HOLDINGS_UPDATED,"{'CASH': 2231340, 'JPM': 78}"
2019-06-28 10:34:00.000000000,HOLDINGS_UPDATED,"{'CASH': 1935930, 'JPM': 81}"
2019-06-28 10:34:00.000000000,HOLDINGS_UPDATED,"{'CASH': 1345110, 'JPM': 87}"
2019-06-28 10:34:00.000000000,HOLDINGS_UPDATED,"{'CASH': 557350, 'JPM': 95}"
2019-06-28 10:34:00.000000000,HOLDINGS_UPDATED,"{'CASH': 65000, 'JPM': 100}"
2019-06-28 10:37:47.315474362,BID_DEPTH,"[(98396, 662)]"
2019-06-28 10:37:47.315474362,ASK_DEPTH,"[(98813, 562)]"
2019-06-28 10:37:47.315474362,IMBALANCE,"[662, 562]"
2019-06-28 10:37:47.315474362,HOLDINGS_UPDATED,"{'CASH': -9816300, 'JPM': 200}"
2019-06-28 10:39:29.454131036,BID_DEPTH,"[(98894, 562)]"
2019-06-28 10:39:29.454131036,ASK_DEPTH,"[(99045, 562)]"
2019-06-28 10:39:29.454131036,IMBALANCE,"[562, 562]"
2019-06-28 10:53:30.397187353,HOLDINGS_UPDATED,"{'CASH': 156900, 'JPM': 100}"
2019-06-28 10:58:29.838719722,BID_DEPTH,"[(98109, 257)]"
2019-06-28 10:58:29.838719722,ASK_DEPTH,"[(99757, 257)]"
2019-06-28 10:58:29.838719722,IMBALANCE,"[257, 257]"
2019-06-28 10:59:00.000000000,HOLDINGS_UPDATED,"{'CASH': 1052571, 'JPM': 91}"
2019-06-28 10:59:00.000000000,HOLDINGS_UPDATED,"{'CASH': 1749204, 'JPM': 84}"
2019-06-28 10:59:00.000000000,HOLDINGS_UPDATED,"{'CASH': 2644875, 'JPM': 75}"
2019-06-28 10:59:00.000000000,HOLDINGS_UPDATED,"{'CASH': 2943432, 'JPM': 72}"
2019-06-28 10:59:00.000000000,HOLDINGS_UPDATED,"{'CASH': 3441027, 'JPM': 67}"
2019-06-28 10:59:00.000000000,HOLDINGS_UPDATED,"{'CASH': 4336698, 'JPM': 58}"
2019-06-28 10:59:00.000000000,HOLDINGS_UPDATED,"{'CASH': 4933812, 'JPM': 52}"
2019-06-28 10:59:00.000000000,HOLDINGS_UPDATED,"{'CASH': 5829483, 'JPM': 43}"
2019-06-28 10:59:00.000000000,HOLDINGS_UPDATED,"{'CASH': 6625635, 'JPM': 35}"
2019-06-28 10:59:00.000000000,HOLDINGS_UPDATED,"{'CASH': 7421787, 'JPM': 27}"
2019-06-28 10:59:00.000000000,HOLDINGS_UPDATED,"{'CASH': 7720344, 'JPM': 24}"
2019-06-28 10:59:00.000000000,HOLDINGS_UPDATED,"{'CASH': 7919382, 'JPM': 22}"
2019-06-28 10:59:00.000000000,HOLDINGS_UPDATED,"{'CASH': 8217939, 'JPM': 19}"
2019-06-28 10:59:00.000000000,HOLDINGS_UPDATED,"{'CASH': 8815053, 'JPM': 13}"
2019-06-28 10:59:00.000000000,HOLDINGS_UPDATED,"{'CASH': 9611205, 'JPM': 5}"
2019-06-28 10:59:00.000000000,HOLDINGS_UPDATED,{'CASH': 10108800}
2019-06-28 11:30:45.684303243,BID_DEPTH,"[(99762, 192)]"
2019-06-28 11:30:45.684303243,ASK_DEPTH,"[(99980, 100)]"
2019-06-28 11:30:45.684303243,IMBALANCE,"[192, 100]"
2019-06-28 11:32:14.536057999,HOLDINGS_UPDATED,"{'CASH': 147100, 'JPM': 100}"
2019-06-28 11:38:30.929320857,BID_DEPTH,"[(99394, 562)]"
2019-06-28 11:38:30.929320857,ASK_DEPTH,"[(100200, 551)]"
2019-06-28 11:38:30.929320857,IMBALANCE,"[562, 551]"
2019-06-28 11:41:08.603777125,HOLDINGS_UPDATED,"{'CASH': -9795200, 'JPM': 200}"
2019-06-28 11:52:22.400084509,BID_DEPTH,"[(100010, 562)]"
2019-06-28 11:52:22.400084509,ASK_DEPTH,"[(100043, 562)]"
2019-06-28 11:52:22.400084509,IMBALANCE,"[562, 562]"
2019-06-28 11:55:24.328004173,BID_DEPTH,"[(99850, 562)]"
2019-06-28 11:55:24.328004173,ASK_DEPTH,"[(100043, 562)]"
2019-06-28 11:55:24.328004173,IMBALANCE,"[562, 562]"
2019-06-28 11:57:00.000000000,HOLDINGS_UPDATED,"{'CASH': -8896235, 'JPM': 191}"
2019-06-28 11:57:00.000000000,HOLDINGS_UPDATED,"{'CASH': -8197040, 'JPM': 184}"
2019-06-28 11:57:00.000000000,HOLDINGS_UPDATED,"{'CASH': -7298075, 'JPM': 175}"
2019-06-28 11:57:00.000000000,HOLDINGS_UPDATED,"{'CASH': -6998420, 'JPM': 172}"
2019-06-28 11:57:00.000000000,HOLDINGS_UPDATED,"{'CASH': -6498995, 'JPM': 167}"
2019-06-28 11:57:00.000000000,HOLDINGS_UPDATED,"{'CASH': -5600030, 'JPM': 158}"
